episode,reward
570,-120.88862292861592
571,-123.61483115843534
572,-121.87136047220925
573,-121.70447457106758
574,-124.18021185560436
575,-119.70653191038276
576,-124.93523129351514
577,-119.99445000196637
578,-123.96272620435577
579,-121.6460498365665
580,-122.28755343998452
581,-123.71732006190786
582,-119.84108462804059
583,-125.12043582829105
584,-120.03262792210813
585,-124.69555633449984
586,-120.41213987322948
587,-123.82829574902804
588,-121.7226280184284
589,-122.3060490987157
590,-123.8050507036626
591,-119.61801244196528
592,-124.93983182553308
593,-119.8193856314543
594,-124.19004709403404
595,-120.7771678226336
596,-123.4598099866689
597,-122.37638524590848
598,-121.52994405905875
599,-124.29613181179265
600,-119.44418938324833
601,-124.77999782183086
602,-119.94150284414586
603,-124.984449034182
604,-119.89695862160221
605,-124.78793026837667
606,-120.90253514535725
607,-122.2754216806571
608,-123.21145020253992
609,-121.01830376554513
610,-123.57017934908518
611,-120.66169844641439
612,-124.23720558972136
613,-119.78896099211103
614,-125.1260381541709
615,-119.82846791379441
616,-124.5970052790069
617,-120.86234254415831
618,-123.94602477854936
619,-119.87879330678888
620,-125.10791929193235
621,-119.68889465200317
622,-124.72562322716148
623,-120.90135287345184
624,-123.64407675670604
625,-121.33471821259286
626,-123.44215801687396
627,-120.69635086937816
628,-123.59734884438426
629,-121.14784305520908
630,-123.18969642016428
631,-121.60460740750555
632,-123.07296512893669
633,-121.52346434648439
634,-123.49231430957808
635,-121.65140460445366
636,-122.00609497613317
637,-122.89233922466889
638,-121.22305101526942
639,-124.06721016028924
640,-120.67427833351435
641,-123.38972383378629
642,-121.49774045640227
643,-122.68713931140931
644,-122.14378091260001
645,-123.19967417167611
646,-120.86541896836266
647,-125.05754886006754
648,-119.90885115287716
649,-124.8835571854972
650,-119.85144792285568
651,-124.89186474793615
652,-119.4292966308967
653,-124.92253632626824
654,-120.26712830661114
655,-123.49464058104056
656,-121.26184846264871
657,-123.44554369521111
658,-121.24211050859502
659,-122.12187260345274
660,-124.13564022072698
661,-120.28413894385375
662,-122.37087440299595
663,-124.62958208781826
664,-120.38044668691464
665,-123.14348402727941
666,-121.8278313680075
667,-123.3400464315584
668,-120.85656539924155
669,-124.0049399675364
670,-121.81705406093435
671,-121.63886577115505
672,-124.1340641284311
673,-119.67593803228705
674,-124.77629907409299
675,-119.81410728379694
676,-125.16625043606871
677,-119.85641057351087
678,-124.55355987916823
679,-120.42431613719835
680,-123.16703487429585
681,-122.49206605448087
682,-121.19982260570323
683,-123.57698710348704
684,-120.50527523583975
685,-124.82162680974447
686,-120.94921428675734
687,-121.31051548947097
688,-124.80445309103216
689,-119.79622707077891
690,-124.63034429651265
691,-120.68292848473213
692,-124.01815598134073
693,-120.53326779524836
694,-123.74901372688096
695,-121.53552459390595
696,-122.13068934246803
697,-123.06186623664898
698,-121.10064722690475
699,-124.03042573880191
700,-120.62741784135457
701,-123.41076490909762
702,-122.19339809697502
703,-122.48843793697375
704,-121.50403461855669
705,-123.99377459494517
706,-120.4398680697634
707,-124.74047131650597
708,-120.25287898340858
709,-124.31325775784786
710,-120.75590698640707
711,-124.18574456621344
712,-119.92855864483522
713,-124.4357135593883
714,-121.18809492794217
715,-122.37798220473029
716,-122.6463403409217
717,-121.9203094257265
718,-122.20523156989684
719,-122.14173170008097
720,-122.98957032262022
721,-121.12834156508985
722,-124.25316772542124
723,-120.06164507419888
724,-125.04962000726339
725,-119.66213273129468
726,-125.03785840043675
727,-119.6643919289678
728,-124.98686101475072
729,-119.89868882931067
730,-125.04785403072127
731,-119.92928799124093
732,-124.44120869737041
733,-120.49912072830894
734,-123.97312829110335
735,-120.28790997158066
736,-124.04163840048356
737,-120.97771774303393
738,-122.40702255280232
739,-122.56413476048218
740,-121.41716123480609
741,-124.09479499119962
742,-120.41834025606833
743,-123.89109845256588
744,-121.2983953758753
745,-123.26473832619712
746,-120.99509826065231
747,-123.96031075641613
748,-120.39365034855503
749,-124.58466715332808
750,-120.16188543466507
751,-123.1705144456915
752,-122.72274380008452
753,-122.12125411090562
754,-121.95039166522592
755,-123.23924160532337
756,-121.30430886005058
757,-124.74476666504458
758,-120.10558533940694
759,-124.63854674333199
760,-120.60423066597288
761,-124.4195429359114
762,-120.70854268022298
763,-123.45040745540679
764,-121.94486498612457
765,-122.65095585750261
766,-122.19466329374173
767,-122.58076745488927
768,-123.01508237743637
769,-120.71491218823148
770,-124.03448751916898
771,-120.8982809022335
772,-124.98813670081366
773,-120.89968378265532
774,-122.68814479987687
775,-122.16792928129338
776,-122.80818005675832
777,-122.40924006008886
778,-120.95001968219628
779,-124.76826107335134
780,-120.18785414232913
781,-123.77110162857672
782,-122.34212088682561
783,-120.69055899010745
784,-124.40192324934398
785,-120.53358040733725
786,-124.15772665712582
787,-119.98815690793904
788,-124.91348221599283
789,-119.95777570625735
790,-123.96713660133969
791,-121.41396464515353
792,-123.36919973041772
793,-121.26633538916593
794,-123.46353694772358
795,-122.76836017947642
796,-120.58884431756914
797,-124.86360033645649
798,-119.97989040087215
799,-124.59625219642294
800,-120.14157244018477
801,-124.74696524099045
802,-119.6059583839363
803,-125.20234015224278
804,-120.41196794277076
805,-123.81359683602143
806,-121.53640613813216
807,-122.81876445184135
808,-122.56623125584481
809,-121.05557817271796
810,-124.6533844203833
811,-120.20394097334894
812,-124.9013184793171
813,-119.9424465547039
814,-124.74216950579267
815,-121.11612710084674
816,-121.71807497247113
817,-124.09546482445096
818,-120.44005139357371
819,-124.41650508484507
820,-120.33676325264547
821,-125.3920646497129
822,-119.72977499841141
823,-124.8383112516949
824,-120.83589367299489
825,-124.08302290376903
826,-121.16277387649893
827,-124.44268454090896
828,-120.10065970431666
829,-124.93177497440294
830,-120.23043871148813
831,-124.46385757139065
832,-121.41055853548804
833,-122.78784008070627
834,-122.50168356158491
835,-122.49956722043025
836,-121.55610966484859
837,-123.61916085321745
838,-122.60647176291371
839,-121.43228439358012
840,-123.94526155101053
841,-120.2791906492479
842,-124.30606817636895
843,-120.40242789254614
844,-125.04675794556847
845,-119.8289588366016
846,-125.33999447043053
847,-120.35043340800527
848,-123.86949632132698
849,-121.82064186806694
850,-122.25879706139237
851,-123.05469169480558
852,-122.24603461087514
853,-122.16349853400048
854,-122.6548053776502
855,-122.35340006081323
856,-121.93821933159415
857,-123.95655001724515
858,-120.3723309656134
859,-121.75790692236905
860,-124.65305623060046
861,-119.96136839028948
862,-125.16864563854412
863,-120.20564959286244
864,-124.40529496195506
865,-120.92605530255493
866,-123.43757639185004
867,-122.3895499431639
868,-122.20931718718008
869,-122.7324657298892
870,-122.2544580543235
871,-123.0957339695982
872,-120.39797413787012
873,-125.15053851762521
874,-120.23298392562599
875,-124.22364353543871
876,-121.54528384746502
877,-124.25599705635818
878,-120.05834456057791
879,-125.0303038974981
880,-120.46176124167646
881,-124.27415927167401
882,-121.3807619049901
883,-123.15323133104644
884,-121.7740608985164
885,-123.14631745202135
886,-122.14463822059867
887,-121.9267838841695
888,-124.00665727743048
889,-120.17669166325773
890,-125.11532391921999
891,-119.70644990873781
892,-125.07332339351197
893,-119.8434107686865
894,-125.26653896528016
895,-119.81744200553007
896,-125.22220613313345
897,-119.77576475428681
898,-124.61222802575712
899,-120.98297622468239
900,-123.23861290145742
901,-122.59738204031689
902,-121.75375566979922
903,-123.34103696910054
904,-121.29097267941191
905,-125.06124065354335
906,-120.6859007687288
907,-121.99925295248735
908,-124.43832965109081
909,-120.02883768625446
910,-125.28728393481975
911,-120.15760163752677
912,-124.75725913859254
913,-120.86133343027193
914,-123.70673486714064
915,-121.80827428812933
916,-121.98854599218552
917,-123.76978737786342
918,-121.31293781529145
919,-123.85399918776291
920,-121.17928050481966
921,-123.32372369907542
922,-121.42778672189586
923,-124.03332490764961
924,-120.54403875516547
925,-124.66259463811821
926,-120.27990776762906
927,-125.01008928391721
928,-120.15643974113576
929,-124.85916464127277
930,-120.04398048339365
931,-125.28551862202046
932,-120.12166090581331
933,-124.13732009558602
934,-121.73751657707477
935,-122.96947015836564
936,-122.04462256057577
937,-123.36381823305608
938,-121.31888148490128
939,-123.62591588538757
940,-121.88990983662725
941,-121.86584902160028
942,-123.93519001776963
943,-120.87457510051318
944,-124.70543936121179
945,-120.30840581732676
946,-124.86138295882158
947,-120.36466158198256
948,-125.17058971334102
949,-120.6655578875181
950,-123.45434612617392
951,-122.65330838609677
952,-121.90165055571806
953,-123.8286340097858
954,-122.00144439207409
955,-123.47396685846887
956,-121.29813035080733
957,-124.12253668186146
958,-120.71616880010157
959,-124.45200985739191
960,-120.39739261585872
961,-124.42132214305974
962,-121.88789087570598
963,-124.15038779172507
964,-121.24394941665919
965,-123.17517768333144
966,-122.2387401986959
967,-122.57999494762069
968,-122.55561547054673
969,-122.93089129222462
970,-121.59709609405175
971,-124.08476691869853
972,-120.6678367803227
973,-123.58021051623878
974,-122.33983627665381
975,-121.74574159632668
976,-123.83702364631976
977,-121.3752096791049
978,-124.3437161629542
979,-121.76537487290516
980,-122.753357827041
981,-122.52771607706597
982,-123.20015767527576
983,-121.31498585419237
984,-124.25315738812495
985,-120.27894330643687
986,-124.58923509899282
987,-120.56163559260693
988,-125.14300708205582
989,-119.79496943699166
990,-124.90177547541114
991,-120.74722143723815
992,-124.06205516613268
993,-121.65139616888213
994,-124.02955438963703
995,-120.52543345623029
996,-124.09791038541091
997,-121.97758278474258
998,-122.32792190302943
999,-123.29089184450146
1000,-121.57102920811357
1001,-123.6907682438597
1002,-120.97702338182823
1003,-123.91480786239168
1004,-122.10478096876237
1005,-121.89689147634665
1006,-123.0127774517261
1007,-122.38697311366391
1008,-121.87485180511514
1009,-123.41799062325973
1010,-121.49359934497636
1011,-123.95079206206437
1012,-121.69385735797958
1013,-123.20311840466535
1014,-121.90061098412357
1015,-123.93598055911824
1016,-120.68209125270234
1017,-124.6115600210596
1018,-120.15145085454115
1019,-124.9307367810202
1020,-120.31794160612704
1021,-124.90196719457191
1022,-120.23870381897753
1023,-125.09009014343526
1024,-120.30104062034185
1025,-123.93271632477622
1026,-122.73906697943816
1027,-121.18693098720932
1028,-124.77538291488763
1029,-120.34598161442848
1030,-125.30939956554668
1031,-120.15345443201461
1032,-124.12390897301073
1033,-121.65288803587632
1034,-122.72266852996734
1035,-123.31006052933247
1036,-121.39198812168495
1037,-123.13104302521283
1038,-122.00018541749114
1039,-122.65558750222698
1040,-122.75116814522475
1041,-122.89058743718506
1042,-121.80938454423267
1043,-124.30834690592008
1044,-120.31610453969532
1045,-125.2118716887522
1046,-119.82339496949292
1047,-125.36362829131573
1048,-120.49400341560913
1049,-124.00401800416059
1050,-121.7379073683295
1051,-122.92971065128178
1052,-122.51789705314786
1053,-122.84199382599803
1054,-122.1338966331891
1055,-122.90592047387666
1056,-122.6937509052077
1057,-121.09787932964898
1058,-124.12737716711769
1059,-123.46713047716953
1060,-120.31727210205271
1061,-125.04119385246096
1062,-120.89487556420914
1063,-123.5751199138995
1064,-122.10336744082234
1065,-122.78910309014299
1066,-122.74989492651605
1067,-121.23604574429255
1068,-124.45470034810774
1069,-120.66615976344319
1070,-124.59448895396571
1071,-120.44028774071404
1072,-124.89760576333146
1073,-119.95250028705644
1074,-125.14596986047817
1075,-119.89778863584695
1076,-124.85153772684684
1077,-120.33606141965174
1078,-124.71895917993791
1079,-121.28167901658901
1080,-123.39387163338544
1081,-121.45216190416207
1082,-123.14381518138681
1083,-123.48748628710642
1084,-121.03619405957282
1085,-125.00805058687291
1086,-119.90970784145368
1087,-125.17328558240588
1088,-120.1647225051403
1089,-125.0693255559537
1090,-120.40299382726656
1091,-123.73760142304381
1092,-124.10314365629819
1093,-120.53809160095012
1094,-124.03103175873174
1095,-122.21967206004217
1096,-122.79588848715768
1097,-122.22238820019471
1098,-122.44045183702363
1099,-123.90854558444272
1100,-120.43336008911939
1101,-124.43248492163984
1102,-123.21341347381626
1103,-120.85339920652139
1104,-125.09172744085484
1105,-119.95219325657428
1106,-125.28287223164634
1107,-120.0682541077173
1108,-124.27596720835126
1109,-121.49989547745889
1110,-122.75145299683564
1111,-122.93709924274904
1112,-121.94035745283279
1113,-123.30195817694923
1114,-121.9076024472943
1115,-123.86361816055799
1116,-120.34740893450673
1117,-124.94839443770542
1118,-121.4532876450419
1119,-123.15529552958768
1120,-122.71923561941828
1121,-122.37881029552847
1122,-123.46783282437977
1123,-121.69795640164372
1124,-123.95681992451621
1125,-120.70117772744524
1126,-125.1636976385938
1127,-120.04741415742463
1128,-125.27046757918546
1129,-120.15490164994654
